"AI_Agent_Interaction_Message_Type__c","AI_Agent_Interaction__c","AI_Agent_Session_Participant__c","AI_Agent_Session__c","Ai_Agent_Interaction_Msg_Content_Type__c","Content__c","Demo_Identifier__c","External_ID__c","Individual__c","Message_Sent_Days__c","Message_Sent_Time__c","Parent_Message__c","Session_Owner_Object__c","Session_Owner__c"
"Output","e1644883-aa3f-48d2-a64a-ab15cd086323","a08e224e-6b5e-47fc-a054-a8f16b3a8263","008e224e-6b5e-47fc-a054-a8f16b3a8263","text/plain","You are welcome. Is there anything else I can help with?","SKYWAVE_PHASE_4_5","ad1c941f-70db-44e1-ac7c-7e5ce03b58d2","","-7.0","18:27:28","","",""
"Input","7c285f38-6e92-4c9b-a482-c19b9cbf8882","ubcc7729-5fbe-4bd5-a16c-63248ea1247f","4bcc7729-5fbe-4bd5-a16c-63248ea1247f","text/plain","Can I move from 23B to an aisle seat?","SKYWAVE_PHASE_4_5","aaa4bf14-193c-45bb-a6d5-b11405201f1d","","-11.0","15:54:00","","",""
"Output","7c285f38-6e92-4c9b-a482-c19b9cbf8882","abcc7729-5fbe-4bd5-a16c-63248ea1247f","4bcc7729-5fbe-4bd5-a16c-63248ea1247f","text/plain","I could not update your seat assignment. Please contact a service agent.","SKYWAVE_PHASE_4_5","503e6b44-fe4e-45c8-abdd-e4762fda468b","","-11.0","15:54:04","","",""
"Input","4a309082-6881-449f-ae99-65455a6b6171","ubcc7729-5fbe-4bd5-a16c-63248ea1247f","4bcc7729-5fbe-4bd5-a16c-63248ea1247f","text/plain","This still is not working, I am frustrated.","SKYWAVE_PHASE_4_5","6761c794-5350-455a-a0a5-68d12dc5cee7","","-11.0","15:55:53","","",""
"Output","4a309082-6881-449f-ae99-65455a6b6171","abcc7729-5fbe-4bd5-a16c-63248ea1247f","4bcc7729-5fbe-4bd5-a16c-63248ea1247f","text/plain","I am sorry for the inconvenience. I was unable to resolve this for you.","SKYWAVE_PHASE_4_5","8e18585e-c05a-4a50-a101-fcff56028896","","-11.0","15:55:55","","",""
"Input","f840e24f-08ad-4db0-ae3c-9bc04524b1f7","ub72b6e7-d7b7-463d-ad6a-72cc999124a9","9b72b6e7-d7b7-463d-ad6a-72cc999124a9","text/plain","Show me my upcoming bookings","SKYWAVE_PHASE_4_5","6173a774-1ea8-4445-a4de-29b7e1c80692","","-9.0","19:06:00","","",""
"Output","f840e24f-08ad-4db0-ae3c-9bc04524b1f7","ab72b6e7-d7b7-463d-ad6a-72cc999124a9","9b72b6e7-d7b7-463d-ad6a-72cc999124a9","text/plain","You have one upcoming booking — LH 1927 BER-MUC-SFO, confirmed.","SKYWAVE_PHASE_4_5","fd3e0a56-bb15-4b5a-ab6f-06a2d6c9041a","","-9.0","19:06:02","","",""
"Input","2b269d05-075c-4a6b-a1b3-d705c9d4e87c","ub72b6e7-d7b7-463d-ad6a-72cc999124a9","9b72b6e7-d7b7-463d-ad6a-72cc999124a9","text/plain","Great, thank you!","SKYWAVE_PHASE_4_5","8e301fa2-217f-4bd1-a930-db283bcf7b54","","-9.0","19:07:07","","",""
"Output","2b269d05-075c-4a6b-a1b3-d705c9d4e87c","ab72b6e7-d7b7-463d-ad6a-72cc999124a9","9b72b6e7-d7b7-463d-ad6a-72cc999124a9","text/plain","You are welcome. Is there anything else I can help with?","SKYWAVE_PHASE_4_5","24f3585a-25de-497c-a6e3-74b8cee11acd","","-9.0","19:07:09","","",""
"Input","8d5aeaff-2ee4-41bd-af26-1cdc444192a7","ub72b6e7-d7b7-463d-ad6a-72cc999124a9","9b72b6e7-d7b7-463d-ad6a-72cc999124a9","text/plain","I want to select seat 1A for my flight","SKYWAVE_PHASE_4_5","444cd604-1f9c-4e0b-aeb8-8dc2c5b689a0","","-9.0","19:09:11","","",""
"Output","8d5aeaff-2ee4-41bd-af26-1cdc444192a7","ab72b6e7-d7b7-463d-ad6a-72cc999124a9","9b72b6e7-d7b7-463d-ad6a-72cc999124a9","text/plain","I was unable to retrieve the seat map automatically and could not assign the seat.","SKYWAVE_PHASE_4_5","aa0a3e7d-6213-41f6-a1bc-5f3a90c9c1ad","","-9.0","19:09:14","","",""
"Input","f5785530-8551-4b8e-acdb-7f375351a4bc","ub72b6e7-d7b7-463d-ad6a-72cc999124a9","9b72b6e7-d7b7-463d-ad6a-72cc999124a9","text/plain","This still is not working, I am frustrated.","SKYWAVE_PHASE_4_5","619aea0b-5c95-4b86-a1e0-98bb4e0f6e9f","","-9.0","19:11:38","","",""
"Output","f5785530-8551-4b8e-acdb-7f375351a4bc","ab72b6e7-d7b7-463d-ad6a-72cc999124a9","9b72b6e7-d7b7-463d-ad6a-72cc999124a9","text/plain","I am sorry for the inconvenience. I was unable to resolve this for you.","SKYWAVE_PHASE_4_5","87879670-860b-45e6-a6c4-a7df7dd3b213","","-9.0","19:11:42","","",""
"Input","53d72815-19f6-46e7-a67a-9134e5967e32","u9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","How many miles do I have?","SKYWAVE_PHASE_4_5","e2e94797-478e-44e7-aae0-c50a60d12a77","","-13.0","12:12:00","","",""
"Output","53d72815-19f6-46e7-a67a-9134e5967e32","a9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","You currently have 18,450 SkyWave miles. You are at Premier tier.","SKYWAVE_PHASE_4_5","31e20014-6757-4d61-aa69-73f4045a3526","","-13.0","12:12:03","","",""
"Input","91107d0f-e8c6-4ac3-a198-da423bc8b4c9","u9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","Great, thank you!","SKYWAVE_PHASE_4_5","dc3d721e-4f83-45bf-aeab-f70b7b70a6fe","","-13.0","12:13:09","","",""
"Output","91107d0f-e8c6-4ac3-a198-da423bc8b4c9","a9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","You are welcome. Is there anything else I can help with?","SKYWAVE_PHASE_4_5","d7876781-e9d6-48e0-a793-ba9144ed5436","","-13.0","12:13:13","","",""
"Input","939baabf-d02b-48cf-a9be-bcc30441fec9","u9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","My in-flight wifi did not work, I want a refund","SKYWAVE_PHASE_4_5","15d890c1-3b63-4065-a928-09168377e395","","-13.0","12:15:22","","",""
"Output","939baabf-d02b-48cf-a9be-bcc30441fec9","a9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","I have logged your complaint as case 00012346. A refund will be processed.","SKYWAVE_PHASE_4_5","3a49f39a-3588-414e-a119-0e4abe85e597","","-13.0","12:15:24","","",""
"Input","40695782-3a13-429c-aba6-6b16fc0cbb5c","u9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","Okay.","SKYWAVE_PHASE_4_5","faf3d48f-8b6b-4883-a5d8-0830763d3e6b","","-13.0","12:16:13","","",""
"Output","40695782-3a13-429c-aba6-6b16fc0cbb5c","a9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","Understood. Anything else I can help with?","SKYWAVE_PHASE_4_5","93341565-4378-42ca-a2a7-51ef2b5e11af","","-13.0","12:16:17","","",""
"Input","972ca142-8262-44e7-a660-c1654e934808","u9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","I want to select seat 1A for my flight","SKYWAVE_PHASE_4_5","0127d755-6fdc-4ad1-aaed-993204a7faf5","","-13.0","12:21:10","","",""
"Output","972ca142-8262-44e7-a660-c1654e934808","a9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","I was unable to retrieve the seat map automatically and could not assign the seat.","SKYWAVE_PHASE_4_5","ac5b2d4a-2be7-4e00-aee8-eede4a6d46b1","","-13.0","12:21:13","","",""
"Input","190d2981-4a9b-4962-acd0-5a1e49ab447f","u9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","This still is not working, I am frustrated.","SKYWAVE_PHASE_4_5","a33937f2-f971-4aab-a7af-79543f3636d9","","-13.0","12:21:49","","",""
"Output","190d2981-4a9b-4962-acd0-5a1e49ab447f","a9529b76-dfaf-4818-a202-fd6381395f50","49529b76-dfaf-4818-a202-fd6381395f50","text/plain","I am sorry for the inconvenience. I was unable to resolve this for you.","SKYWAVE_PHASE_4_5","e5264aae-17b3-4bec-a7a3-368ae3df8874","","-13.0","12:21:53","","",""
"Input","dd4f83ba-3b35-4bf4-a28c-b824287d6d41","uf60af3c-9304-46e8-a7e2-f8aec150ad99","7f60af3c-9304-46e8-a7e2-f8aec150ad99","text/plain","Cancel my booking ABC123","SKYWAVE_PHASE_4_5","2c3b1dd2-28f0-4b03-a1bf-c1ed2ac9dd2d","","-11.0","18:08:00","","",""
"Output","dd4f83ba-3b35-4bf4-a28c-b824287d6d41","af60af3c-9304-46e8-a7e2-f8aec150ad99","7f60af3c-9304-46e8-a7e2-f8aec150ad99","text/plain","I have cancelled booking ABC123. A refund of $480 will be issued.","SKYWAVE_PHASE_4_5","46ad13d4-ad41-4e30-ae12-953b452b2f80","","-11.0","18:08:04","","",""
"Input","eb8ac24d-c707-4223-a1b6-175df9d1364f","uf60af3c-9304-46e8-a7e2-f8aec150ad99","7f60af3c-9304-46e8-a7e2-f8aec150ad99","text/plain","Great, thank you!","SKYWAVE_PHASE_4_5","a40e3e05-22a6-47f7-aa24-5759aaa0f1f2","","-11.0","18:11:31","","",""
"Output","eb8ac24d-c707-4223-a1b6-175df9d1364f","af60af3c-9304-46e8-a7e2-f8aec150ad99","7f60af3c-9304-46e8-a7e2-f8aec150ad99","text/plain","You are welcome. Is there anything else I can help with?","SKYWAVE_PHASE_4_5","c4e6eb15-52f5-4f21-afff-b1ac80ccbca6","","-11.0","18:11:35","","",""
"Input","d745e297-7ead-48ef-a389-68fb9814f53c","uf60af3c-9304-46e8-a7e2-f8aec150ad99","7f60af3c-9304-46e8-a7e2-f8aec150ad99","text/plain","Can I move from 23B to an aisle seat?","SKYWAVE_PHASE_4_5","f2ffa6d4-ef57-48d5-a88a-aed0601c7ddd","","-11.0","18:13:43","","",""
"Output","d745e297-7ead-48ef-a389-68fb9814f53c","af60af3c-9304-46e8-a7e2-f8aec150ad99","7f60af3c-9304-46e8-a7e2-f8aec150ad99","text/plain","I could not update your seat assignment. Please contact a service agent.","SKYWAVE_PHASE_4_5","5316b651-a884-4613-a04b-b2fa4bb85e07","","-11.0","18:13:46","","",""
"Input","8e257473-518e-45c7-a1c2-f5c138d84a09","uf60af3c-9304-46e8-a7e2-f8aec150ad99","7f60af3c-9304-46e8-a7e2-f8aec150ad99","text/plain","This still is not working, I am frustrated.","SKYWAVE_PHASE_4_5","9f202d28-c622-462c-ac6e-9022762db71e","","-11.0","18:14:42","","",""
"Output","8e257473-518e-45c7-a1c2-f5c138d84a09","af60af3c-9304-46e8-a7e2-f8aec150ad99","7f60af3c-9304-46e8-a7e2-f8aec150ad99","text/plain","I am sorry for the inconvenience. I was unable to resolve this for you.","SKYWAVE_PHASE_4_5","786922a5-dcbc-45bd-ad15-85610e8a5286","","-11.0","18:14:44","","",""
"Input","2674e620-b596-49b8-a9ad-b90662973e51","u8ebdf6a-afac-4695-ab24-7f206ccb7cf2","f8ebdf6a-afac-4695-ab24-7f206ccb7cf2","text/plain","Cancel my booking ABC123","SKYWAVE_PHASE_4_5","8763167b-3104-41be-a6fc-0a1c3f0f874d","","-3.0","10:23:00","","",""
"Output","2674e620-b596-49b8-a9ad-b90662973e51","a8ebdf6a-afac-4695-ab24-7f206ccb7cf2","f8ebdf6a-afac-4695-ab24-7f206ccb7cf2","text/plain","I have cancelled booking ABC123. A refund of $480 will be issued.","SKYWAVE_PHASE_4_5","22c20d90-d73f-450a-a683-66e88d65fee4","","-3.0","10:23:02","","",""
"Input","f0bbdf98-ad2d-433d-a70a-cbec16cc189c","u8ebdf6a-afac-4695-ab24-7f206ccb7cf2","f8ebdf6a-afac-4695-ab24-7f206ccb7cf2","text/plain","Great, thank you!","SKYWAVE_PHASE_4_5","0e5eaefe-7fb1-4262-a26d-e833531e4e6f","","-3.0","10:23:25","","",""
"Output","f0bbdf98-ad2d-433d-a70a-cbec16cc189c","a8ebdf6a-afac-4695-ab24-7f206ccb7cf2","f8ebdf6a-afac-4695-ab24-7f206ccb7cf2","text/plain","You are welcome. Is there anything else I can help with?","SKYWAVE_PHASE_4_5","dda9dfdf-215f-4dfb-a063-0c012b576c6b","","-3.0","10:23:29","","",""
